ticker,name,sector
HEXA.JK,Hexindo Adiperkasa Tbk,Perindustrian
HGII.JK,PT Hero Global Investment Tbk,Infrastruktur
HILL.JK,PT Hillcon Tbk,Energi
HITS.JK,Humpuss Intermoda Transportasi Tbk,Energi
HKMU.JK,PT HK Metals Utama Tbk,Barang Baku
HMSP.JK,HM Sampoerna Tbk,Barang Konsumen Primer
HOKI.JK,PT Buyung Poetra Sembada Tbk.,Barang Konsumen Primer
HOME.JK,Hotel Mandarine Regency Tbk,Barang Konsumen Non-Primer
HOMI.JK,PT Grand House Mulia Tbk,Properti & Real Estat
HOPE.JK,PT Harapan Duta Pertiwi Tbk.,Perindustrian
HOTL.JK,Saraswati Griya Lestari Tbk,Barang Konsumen Non-Primer
HRME.JK,PT Menteng Heritage Realty Tbk.,Barang Konsumen Non-Primer
HRTA.JK,PT Hartadinata Abadi Tbk,Barang Konsumen Non-Primer
HRUM.JK,Harum Energy Tbk,Energi
HUMI.JK,PT Humpuss Maritim Internasional Tbk,Energi
HYGN.JK,PT Ecocare Indo Pasifik Tbk.,Perindustrian
IATA.JK,PT MNC Energy Investments Tbk,Energi
IBFN.JK,PT Intan Baru Prana Tbk,Perindustrian
IBOS.JK,PT Indo Boga Sukses Tbk,Barang Konsumen Primer
IBST.JK,Inti Bangun Sejahtera Tbk,Infrastruktur
ICBP.JK,Indofood CBP Sukses Makmur Tbk,Barang Konsumen Primer
ICON.JK,Island Concepts Indonesia Tbk,Perindustrian
IDEA.JK,PT Idea Indonesia Akademi Tbk,Barang Konsumen Non-Primer
IDPR.JK,PT Indonesia Pondasi Raya Tbk.,Infrastruktur
IFII.JK,PT Indonesia Fibreboard Industry Tbk,Barang Baku
IFSH.JK,PT Ifishdeco Tbk.,Barang Baku
IGAR.JK,Champion Pacific Indonesia Tbk,Barang Baku
IIKP.JK,Inti Agri Resources Tbk,Barang Konsumen Non-Primer
IKAI.JK,Intikeramik Alamasri Industri Tbk,Perindustrian
IKAN.JK,PT Era Mandiri Cemerlang Tbk,Barang Konsumen Primer
IKBI.JK,Sumi Indo Kabel Tbk,Perindustrian
